STL,English,Complexity
"always[0,15](a1 < 10) -> (eventually[10,20](b1 > 20) or always[5,25](c1 < 30))","Whenever signal a1 stays below 10 during the entire period from time 0 to 15, either signal b1 exceeds 20 at least once between 10 and 20, or signal c1 remains under 30 throughout 5 to 25.",non-nested
"always[0,5](x1 > 3) -> not eventually[3,7](x2 < -2)","Whenever signal x1 exceeds 3 throughout [0,5], it implies that signal x2 must not fall below -2 in the interval [3,7].",non-nested
"always[2,6](x_3 < 10) -> eventually[5,9](x_4 > 15)","Whenever the signal x3 remains below 10 during the interval [2,6], it should be that signal x4 crosses above 15 at least once between [5,9].",non-nested
"always[0,20]((y_1 > 0.5) -> always[0,20](p_1 > 100))","The system must guarantee that for every signal value of y_1 exceeding 0.5 in the next 20 seconds, the pressure p_1 simultaneously remains above 100 throughout this period.",non-nested
"always[0,500]( (P1 > 200) -> eventually[0,60](P2 < 50) )","Every time the pressure P1 exceeds 200 psi between 0-500 seconds, it should be followed by pressure P2 dropping below 50 psi within the next 60 seconds.",non-nested
"always[0,30](p_1 > 50 and h_1 < 20) -> always[30,60](t_1 > 25)","If pressure p_1 exceeds 50 units from time 0 to 30, while during the same interval, humidity h_1 is below 20 units constantly, it implies that temperature t_1 will have values greater than 25 units from time 30 to 60.",non-nested
"always[0,10](p_1 <= 25) and eventually[0,10](f_1 > 100)","The pressure p1 never exceeds 25 units during the first 10 minutes, but the flow rate f1 must exceed 100 units at least once within this period.",non-nested
"always[2,5](x1 <= 10) and eventually[4,7](x3 < -3)","The signal x1 must never exceed 10 during the interval [2,5], and simultaneously signal x3 must stay below -3 at least once between [4,7].",non-nested
"always[1,5](x_1 > 10) and eventually[8,10](x_1 < 5)",Signal x_1 must be consistently above 10 during the period from 1 to 5 seconds and should drop below 5 at least once between 8 to 10 seconds.,non-nested
"eventually[0,1000](x + z > 10) -> always[0,200](y <= 5)","For the first 1000 time units, if the sum of signals x and z ever exceeds 10, then for the following 200 time units the signal y must not exceed 5.",non-nested
"always[2,8](v_1 > 10) -> (eventually[4,6](u_1 < 3) or always[5,9](s_1 > 15))","When variable v_1 remains above 10 for the entire duration of [2,8], it should imply that either u_1 drops below 3 at some point within [4,6] or s_1 exceeds 15 throughout [5,9].",non-nested
"always[0,2](x1 >= 3) -> always[2,5](x3 > 10)","The signal x3 always exceeds 10 between the time intervals [2,5] if the signal x1 never goes below 3 throughout the interval [0,2].",non-nested
"always[0,30](v > 60) -> eventually[0,50](a < -5)","If the velocity v exceeds 60 mph consistently over a period of 30 seconds, then there must be at least one instance within the following 50 seconds where the acceleration a decreases below -5 m/s².",non-nested
"always[10,20](x_10 < 3.5) -> always[15,25](y_20 > 2.5)","If during the time interval [10,20], the signal x_10 never reaches or exceeds 3.5, it implies that within the following interval [15,25], signal y_20 must consistently remain above the level of 2.5.",non-nested
"always[0,10](p1 < 300) -> eventually[15,25](v1 > 100)","Whenever the pressure p1 stays below 300 psi continuously from now until 10 seconds, it should be followed by vibration v1 exceeding 100 Hz at any point between 15 to 25 seconds.",non-nested
"(s1 > 100) -> (eventually[10,20](s1 < 80) and always[0,20](p1 <= 50))","Whenever the speed s1 exceeds 100 km/h, it must eventually return under 80 km/h within the next 10 to 20 seconds, and meanwhile, the pressure p1 should not exceed 50 units at any moment.",non-nested
"always[0,50](p1 < 150) -> eventually[10,20](v1 > 10)","Whenever pressure p1 stays below 150 psi within the first 50 seconds, it must be followed by the vibration v1 rising above 10 units anytime between 10 and 20 seconds later.",non-nested
"eventually[0,60](x > 200) -> eventually[0,120](always[0,30](x < 150))","Whenever the water level x exceeds 200 units within the next 60 seconds, it should remain below 150 units continuously for at least 30 seconds during the following 120 seconds.",non-nested
"always[5,15](p1 > 70) -> always[10,25](p2 >= 40)","If the pressure p1 consistently exceeds 70 psi throughout the interval [5,15], then the pressure p2 must not drop below 40 psi at any point during the interval [10,25].",non-nested
"always[0,50](temp_1 < -10) and eventually[10,20](moist_1 > 0.8) -> always[0,60](heat_1 > 0)","Whenever the temperature (temp_1) remains below -10 degrees from 0 to 50 time units, and moisture (moist_1) reaches above 0.8 at any time between 10 and 20 time units, the heater (heat_1) must be turned on continuously from 0 to 60 time units.",non-nested
"(y<0.3) until[2,4] (y>0.8)",Signal y remains below 0.3 until it rises above 0.8 within the time frame from 2 to 4 units.,non-nested
"eventually[30,90](always[0,10](p1 > 100) and always[0,10](p2 <= 50))","Pressure p1 exceeds 100 units for at least 10 seconds between 30 and 90 seconds after the measurement starts, and during the same time pressure p2 does not exceed 50 units.",nested
"always[0,20](t1 > 100) -> eventually[5,25](p1 < 30)","Whenever the system temperature t1 remains above 100 degrees during the interval [0, 20], it must be followed by the pressure p1 dropping below 30 psi anytime within the subsequent [5, 25] interval.",non-nested
"eventually[0,60](always[0,5](p1 > 10) and always[0,5](f1 <= 20))","The pressure p1 exceeds 10 units for at least 5 continuous seconds within the next minute, but the flow rate f1 does not exceed 20 units at any time during that period.",nested
"eventually[0,60](x_3 > 10) -> always[60,180](x_3 >= 2)","If signal x3 exceeds 10 anytime during the first minute, it must not drop below 2 at any point during the subsequent two minutes.",non-nested
"always[2,5](x_3 < 2) or eventually[6,10](x_4 > 3)","The signal x3 remains below 2 throughout the interval [2,5] or the signal x4 exceeds 3 at any time between [6,10].",non-nested
"eventually[0,60](p_1 > 120 and always[0,60](p_2 < 80)) -> always[60,260](p_1 >= 100)","If the pressure p1 exceeds 120 psi within the initial 60 seconds and simultaneously, p2 stays less than 80 psi, then after this phase, p1 will not drop below 100 psi for the following 200 seconds.",nested
"eventually[0,60](p_1 > 30) -> always[60,90](p_1 < 25)","Whenever pressure p1 exceeds 30 psi within the first 60 seconds, it should consistently remain below 25 psi for at least the following 30 seconds.",non-nested
"always[100,200](x_3 > 10) -> eventually[250,300](x_4 > 15)","If signal x_3 remains above 10 during the interval from 100 to 200, then at some time between 250 to 300, signal x_4 must increase above 15.",non-nested
"always[0,10](v1 > 80) <-> not eventually[0,10](p1 > 100)",The speed signal v1 remains consistently above 80 km/h between 0 to 10 seconds if and only if the pressure signal p1 is never above 100kPa within the same interval.,non-nested
"always[0,300](h1 < 20) -> eventually[0,900](c1 > 75)","If humidity h1 remains less than 20% for more than 5 minutes from now, then at some point in the next 15 minutes, the concentration c1 should exceed 75 ppm.",non-nested
"always[0,20](x_3 < 50) -> always[0,20](p_2 <= 100)","Whenever the temperature x_3 remains below 50 between 0 and 20 seconds, it is always the case that pressure p_2 will not exceed 100 within the same time frame.",non-nested
"eventually[0,100](always[0,20](p1 > 50) and eventually[0,100](v1 < 25)) -> always[100,160](t3 <= 80)","If the pressure p1 exceeds 50 units for at least 20 continuous seconds within the first 100 seconds, and meanwhile the vibration v1 remains under 25 units at least once during the same period, then the temperature t3 must not exceed 80 units for any 30 second interval in the following 60 seconds.",nested
"eventually[20,40](p1 < 30) -> always[0,15](h1 > 75)","Whenever the pressure p1 drops below 30 units within 20 to 40 seconds, the humidity h1 should increase above 75% continuously for the next 15 seconds.",non-nested
"always[0,100](x_1 < -0.5) -> eventually[10,20](x_2 > 0.5)","Whenever signal x_1 remains below -0.5 during the first 100 time units, signal x_2 should exceed 0.5 at least once between 10 and 20 time units later.",non-nested
"eventually[0,60](always[0,15](p1 < 25)) -> eventually[0,30](v1 > 60)","If the pressure p1 stays below 25 units for at least 15 seconds within the next minute, then the velocity v1 must exceed 60 units within the following 30 seconds.",nested
"always[0,30]((p_1 > 100) and (v_1 < 50)) -> eventually[10,40](T > 300)","Whenever the pressure p_1 exceeds 100 units from time 0 to 30, and simultaneously the volume v_1 is below 50 units, then within the subsequent 10 to 40 seconds, the temperature T must rise above 300 degrees.",non-nested
"always[5,15](x_1 + x_2 > 10)",The sum of signals x_1 and x_2 is always greater than 10 from time 5 to time 15.,non-nested
"always[0,20](A > 50) -> eventually[0,60](P > 30)","If the concentration of chemical A remains above 50 units for at least 20 seconds, then pressure P should exceed 30 psi at least once within the next 1 minute.",non-nested
"always[2,9](x_5 == 10) and always[4,6](x_7 > 3)","The signal x_5 remains exactly at 10 for the entire duration of [2, 9] and at the same time, signal x_7 must exceed 3 from time 4 to 6.",non-nested
"always[0,120](p_1 > 80) -> (eventually[0,100](v_1 < 15) or eventually[0,100](p_2 > 50))","If the pressure p1 exceeds 80 units continuously for the first 120 seconds, then either the volume v1 will drop below 15 units or the pressure p2 will exceed 50 units at least once within the next 100 seconds.",non-nested
"always[0,20](v_1 < 30) -> eventually[25,40](a_1 > 5)","If the velocity v1 remains consistently below 30 m/s during the first 20 seconds, then it must be that the acceleration a1 exceeds 5 m/s² at least once between 25 and 40 seconds.",non-nested
"always[2,6](x_3 >= 2.5) or eventually[1,5](x_4 < -1.5)","The signal x3 remains at least 2.5 throughout the interval [2,6] or the signal x4 drops below -1.5 any time between 1 and 5 minutes.",non-nested
"always[2,5](x_3 <= 1.0)","At no point does signal x_3 exceed 1.0 during the interval [2,5].",non-nested
"always[0,60](p_1 <= 100) until[0,60](h_1 >= 50)","The pressure p1 must not exceed 100 units before the humidity h1 reaches 50%, provided that the time window is within 60 seconds.",non-nested
"always[2,6](x_3 < 10) -> always[7,9](x_3 < 8)","Whenever signal x3 remains below 10 during the interval [2,6], it must continue to be less than 8 for the following interval [7,9].",non-nested
"always[0,100](a1 >= 10) -> eventually[50,150](b1 > 20)",The signal `a1` never drops below 10 during the first 100 time units and this condition ensures that signal `b1` exceeds 20 at least once between time 50 and 150.,non-nested
"always[50,100](x_2 < 0.3)",Every value of signal x_2 remains below 0.3 during the interval from time 50 to time 100.,non-nested
"always[0,5](x1 < 2) and eventually[4,7](x2 > 3)","The signal x1 remains below 2 from time 0 to 5, while the signal x2 exceeds 3 at least once between 4 and 7.",non-nested
"always[0,20](p1 > 3) and eventually[0,20](always[0,15](p2 < 5)) -> eventually[20,50](p3 > 7)","If signal p1 remains above 3 for the entire duration of the first 20 seconds and simultaneously, signal p2 is consistently below 5 for at least 15 consecutive seconds within the same interval, then signal p3 must exceed 7 at least once within the next 30 seconds.",nested
"always[200,400](x_3 < 1.5) -> eventually[410,420](x_5 > 2.0)","If the value of signal x_3 remains below 1.5 during the entire period from 200 to 400 time units, it should ensure that signal x_5 exceeds 2.0 at least once within 10 to 20 time units after the period ends.",non-nested
"always[2,5](x_3 < 4) -> eventually[4,8](x_4 > 7)","Whenever the signal x3 remains below 4 during the period [2,5], then the signal x4 must consistently be above 7 at some time between 4 and 8.",non-nested
